prompt,hq1,hq2,mq1,lq1,lq2,lq3,lq4,lq5
"i know i am too big, and i probably should exercise more and eat better, but i am so busy. i’ve got school, homework, and my job at the mall, so i don’t see anywhere to fit it in. plus, i can’t afford any of those gyms. and none of my friends want to exercise with me. they’re lazier than i am.  ","you are starting to think it’s time to do something about your weight, and you know exercise and eating a little better would help. but fitting it in, between school and work, seems almost impossible. the gym isn’t an option, and you can’t think of any friends who would work out with you. but it is something you are starting to think about.","you have put a lot of effort into losing weight but it has not paid off. you are starting to feel a bit desperate. diets don’t seem to work for you. you are looking for something different that might last.
",you don't know how you'd fit exercise into your schedule.,it's free to exercise at home. maybe ride your bike or walk. ask one of your parents to help. try to eat some salads and fruit. bring snacks to work and school.,"do you have a cheap gym near you, like a planet fitness?","you always have time for something, and about the lack of money, just work harder or even if you lack money, start training in public places.","your feelings are valid, but i would advise that you take some time in your day for self care. it is important that you are happy with yourself. where there is a will there is a way.","start with small steps, start exercising at home and then progress. and really consider if you really don't have the time or just need to adjust your priorities."
i don’t trust doctors.  i don’t trust the cdc.  god gave us an immune system and as a healthy persons that is all i need to protect myself from getting covid.   i think this is all a bunch of hysteria and profiteering by the pharm industry,you feel that your immune systems is strong enough to protect you from getting covid-19 and you don’t trust the motives of the health system and pharmaceutical industry. you don’t think they are telling us the truth about covid-19.  they have ulterior motives.,putting your trust in others is hard for you. it scares you that a company or entity potentially could be experimenting on you with their treatments.,you believe god will protect you from covid-19.,"well, we don’t know who is naturally able to avoid getting covid-19.  the vaccine is the best way to avoid it even if you have a good immune system.  most religious leaders are recommending that their congregants get vaccinated. ",do you think everyone in healthcare is in it for the money?,"otherwise, the fight against covid is hard, so stop these thoughts.","well, taking covid vaccine can help you in developing immunity against the virus. you won't be able to spread the virus among your closed ones. this can create a safe environment for everyone. so my advice is that you should get vaccinated as soon as possible.",how does your opinion affect the people around you?
"doctor x, i don’t want the covid vaccine for me or my kids. they don’t know enough about how safe it is and what long term side effects it causes. it is not for me or my family. ","you are worried about long term effects from the vaccine that might not have been found, and don’t want to take that risk for you or your family.  you are trying to do the right thing and for now not getting vaccinated feels like the best thing for you and your family. ",you're concerned that not enough research has been done on the vaccine.,you want more information before choosing to vaccinate yourself or your family.,let me tell you about what we know about how safe it is and side effects. we have lots of data about that now.  i think it is the right thing for you and your family,don't you know the long-term side effects of getting. covid-19?,"if indicated, trust that it is safe.",i can absolutely respect that decision. is there any information that i can give you about the vaccine that you would find helpful in solidifying your decision?,"the covid vaccine is very safe and only very few people had any kind of dangerous side effects. covid, at the other hand, has killed millions of people. you are putting your kids and yourself in risk."
i know i should probably get the vaccine. i have my mother living with me and she has type-2 diabetes. i would hate to bring it home to her. but i just don’t know about those side effects. i heard it changes your dna and the vaccine can give you the virus.,"while you have some concerns about the vaccine, part of you feels it would  protect your mother and you don’t want to be responsible for her getting sick.  sounds like finding answers to your questions about the safety of the vaccine might help you decide.    ","you want to protect your mom, but you're worried about the side effects of being vaccinated.",you don't want to give your mom covid.,"you need to protect your mother and get over your worries. the thing is safe. you cannot get the virus from the vaccine, and it cannot change your dna. mrna vaccines don’t work like that.   ",do you believe the side effects of the vaccine are worse for you than if you got covid-19?,"follow what experts say, not what you hear from others.",i know it can sound intimidating but consider what's important to you and make a decision based on that.,"stop listening to bad advice and get the facts. the vaccine is innate, it cannot give you the virus or make it so you are positive and spread it to others. that does not mean you can't get the virus even when vaccinated a lot of people have."
"i know because i am so heavy and have diabetes i probably should exercise more, but i am so busy. with the three kids and my new job i don’t see anywhere to fit it in. plus, i hate the gym.  i can’t stand being around all that lycra. my husband is useless because he already plays basketball four times a week.  ","although part of you knows exercise might help you get control of your weight and your blood sugar, fitting it in seems almost impossible given how busy you are at home and at work. the gym turns you off and your husband doesn’t seem like he can be much help either.  but it is something you think could be good for you. ","because of your crazy schedule with the kids and your job, you just can't see how to make regular physical activity fit into your schedule right now.",you don't see a way to make exercise fit in your schedule.,"well, you can exercise at home. maybe ride your bike or walk.  ask your husband to help. and don’t worry about how you look nobody is paying attention to you.",can you play basketball with your husband?,"concile your husband to help you with your homework and with your children, so you will have more time and still be able to do some physical activity with more peace of mind.","the good news is that diet, not exercise, is the most efficient method of losing weight. you don't need time to hit the gym, but you can always cut back on calories eaten.",have you tried looking for ways to incorporate exercise into your routine at home?
"of course, i would like to lose weight and not feel gross all the time. but i hate all the diets my mom puts me on. i’ve tried them all. every time i end up feeling deprived and hungry. then i gain all the weight back. i’m getting ready to give up.","you have tried a lot of things and put a lot of effort into this. but because the effects of these diets haven’t lasted and they just make you hungry, you are getting discouraged.","you're unhappy with how you feel in your skin. if you could find a way to lose weight that didn't include a restrictive diet, you might be willing to give it a try.",you don't like the way you look.,"tell your mom to back off, and then work harder to keep the weight off. you will feel a lot better.",can you find a diet that your mom hasn't recommended?,ok,"want to lose weight without sacrifice? that doesn't exist, and it just depends on you and not your mother.","we fail at times but we have a chance everyday to get it right, don't stop until you're at your goals."
of course i would like to lose weight. but i hate diets. i've tried them all. every time i end up feeling deprived and hungry. then i gain all the weight back. i’m getting ready to give up.,"controlling your weight and improving your health are important to you. you have tried a lot of things and put a lot of effort into this. but because the effects of these diets haven’t lasted and they just make you hungry, you are getting discouraged.",you are starting to wonder if there is another way to go about this without depriving yourself.,diets haven't worked for you in the past.,"well, you will have to try work on relapse prevention. diets don’t work anyway.",don't you know how bad yo-yo dieting is for you?,you need to try more foods. there are plenty of good tasting healthy food.,"remember if you want to change the action is up to you, so stop making excuses.",have you thought of incorporating light exercise into your routine instead?
"we eat at wendy’s a few times a week. it’s cheap, fast, my kids like it, and it’s better than those other places.  there’s a lot worse we could be eating.  sure, there are better foods than that, but i don’t have time to cook.","you know that there are better options than fast foods, but it tends to work out better for your schedule since it's fast. if you could find a way to get healthy foods into your kids quickly, it might be something you'd consider.  ","because there aren’t a lot of healthy foods in your house and money is tight, it makes it hard to eat better. so fast food is one of your only options. however, you care about your health and are starting to think about eating better than fast food.",you don't have time to cook so fast food works out best for you.,"you know, wendy’s is no better than mcdonald’s, so you are not doing yourself any favors by eating there.  it’s also more expensive than you think.",why do you think that wendy's is better than other fast food places?,maybe do a small food prep once a week and meal plan or cook in bigger batches and freeze half,why do you not have time to cook?,i think you should try to make some time in your schedule for cooking decent meals for your family; you will be really happy you did that if you try it.
"i really need to find someone to exercise with. i can’t do it alone.  i just need someone to remind me or do it with me, but there is no one.","so, it’s interesting you have not mentioned your husband. i assume that he would not be helpful in any of this.",finding an accountability partner is something you've thought about trying. you think you might be able to be successful with exercise if you weren't on your own.,you'd be more successful if you could find someone to exercise with.,"sometimes you just have to rely on yourself to get things done. instead of wishing there was someone else to exericse with, get off the couch and go for a walk in your neighborhood with the dog. ",why don’t you exercise with your husband?,"i understand your need for someone to push you, but this should teach you that only you can show up for yourself.",there are lots of people! i'm sure we can find you a group.,"have you asked any friends? if none of them are willing, there are so many online groups where you may find that support. what have you tried so far?"
"look at you, were you ever heavy? how can you really relate to me?",you’re concerned that if i have not struggled with my weight that i won’t be able to understand you or won’t be able to help you.,you're concerned that i won't be able to relate to you because of my weight.,you don't think i can relate.,actually i was heavy! i lost 70 pounds so i know you can lose weight too.,why does that matter?,what's at issue here is how you feel about yourself. my role here is to help you find the good things about yourself that will give you a way to understand that you are a great person with much to offer. the fact is that skinny people are no more immune to problems than heavy ones.,"this is a strange thing, but being heavy is something we can all change.",i may not be able to relate to you but i am here to listen
"i know i need to eat better.   but i live alone, i’m a lousy cook, and i have no time or interest to learn how.  sure, mcdonalds is poison but it’s fast and cheap and i’m not embarrassed to eat there alone.","you really wish you could find a way to eat healthier and get away from fast food, but you struggle because cooking for one is difficult.",you struggle finding meals for one. you'd like to eat healthier but since you don't have time to cook finding restaurants where you're comfortable eating alone is limiting.,you know you could eat better than you do.,there are other fast food options healthier than mcdonalds. don't go there.,you're embarrassed to eat alone?,you will surely not be embarrased by eating better either. just a little direction in basic cooking will go a long way in opening your cooking possibilities. it is not all just gourmet items.,"he doesn't invest excuses, living alone doesn't mean anything. the action just depends on you.","mcdonalds might be cheap in the short run, but in the long run it's costing you life.  there are so many good bloggers and youtubers that offer simple recipes. can we look for some of those?"
"yes, i know all that tv and all those video games are not good for her. by what can i do?  i cannot afford a babysitter and i must get my work done. i work out of my home.","you know that you can’t be the kind of employee you really want to be with your daughter at home. and while hiring a babysitter is off the table due to the cost, you’re starting to think about what other options there might be to keep her occupied besides tv.",you're really in a pinch. you have to keep the kids occupied but you also have to get work done at home.,you know tv isn't a great choice for her.,maybe you could have them watch an exercise video while you work.,you know that screentime is horrible for them but you still let them watch tv and play video games all night?,"act as a father or mother, be responsible for your actions and in a way.",can you put together some activity boxes for her? small things she can do maybe sitting next to you while you're working?,ok
"i really need to start exercising, but i hate the gym. i joined the one nearby my house, but i never go. everyone is so young and skinny; i hate those young girls in their little outfits. there is no way i would go there again, it was horrible.","although you don’t want to go the gym by your house, there is a gym at work. but you didn’t mention that as an option so i’m assuming that wouldn’t be a great solution for you.",you've really been thinking a lot about what you can do to improve your health. you've gone so far as to join the local gym but you didn't have the best experience when you were there.,you don't like going to the gym for exercise.,seems like you're too focused on what others are doing or what they think about you. you need to focus on yourself.,why do you care what everyone else looks like?,"start exercising alone, just start and stop investing excuses.",so don't go. you can exercise at home or simply go out for a walk.,your health condition is so  important than other .ignore others. try to fit yourself.
